collection_id,collection_title,transcript_id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
brooklyn-public,Brooklyn Public Library,phil-franco-0001,Phil Franco,"Phil Franco is interviewed by Emma Clark at the Leonard Library on February 18th, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/phil-franco,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/phil-franco-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/phil-franco-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/phil-franco-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/phil-franco-0001.json
buzz,Buzzfeed,ep-53-i-am-lola-lafway,"Another Round, Ep 53: I Am... Lola LaFway (with Nichole Perkins)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-53-i-am-lola-lafway.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-53-i-am-lola-lafway.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-53-i-am-lola-lafway.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-53-i-am-lola-lafway.json
buzz,Buzzfeed,ep-48-revolutions-are-hard-eyeliner-is-hard,"Another Round, Ep 48: Revolutions Are Hard, Eyeliner Is Hard (with Maryam Al-Khawaja)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-48-revolutions-are-hard-eyeliner-is-hard.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-48-revolutions-are-hard-eyeliner-is-hard.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-48-revolutions-are-hard-eyeliner-is-hard.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-48-revolutions-are-hard-eyeliner-is-hard.json
buzz,Buzzfeed,ep-46-challenging--unpredictable,"Another Round, Ep 46: Challenging & Unpredictable (with Melissa Harris-Perry)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-46-challenging--unpredictable.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-46-challenging--unpredictable.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-46-challenging--unpredictable.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-46-challenging--unpredictable.json
buzz,Buzzfeed,ep-32-the-yum-center,"Another Round, Ep 32: The Yum Center (with Melissa Harris-Perry)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-32-the-yum-center.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-32-the-yum-center.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-32-the-yum-center.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-32-the-yum-center.json
buzz,Buzzfeed,ep-37-the-room-where-it-happens,"Another Round, Ep 37: The Room Where It Happens (with Valerie Jarrett)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-37-the-room-where-it-happens.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-37-the-room-where-it-happens.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-37-the-room-where-it-happens.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-37-the-room-where-it-happens.json
buzz,Buzzfeed,ep-45-practical-tactical-brilliance,"Another Round, Ep 45: Practical Tactical Brilliance (with Lin-Manuel Miranda)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-45-practical-tactical-brilliance.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-45-practical-tactical-brilliance.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-45-practical-tactical-brilliance.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-45-practical-tactical-brilliance.json
buzz,Buzzfeed,ep-28-madam-secretary-whats-good,"Another Round, Ep 28: Madam Secretary, What's Good? (with Hillary Clinton)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-28-madam-secretary-whats-good.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-28-madam-secretary-whats-good.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-28-madam-secretary-whats-good.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-28-madam-secretary-whats-good.json
buzz,Buzzfeed,ep-13-another-round-live,"Another Round, Ep 13: Another Round LIVE! (with Roxane Gay)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-13-another-round-live.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-13-another-round-live.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-13-another-round-live.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-13-another-round-live.json
buzz,Buzzfeed,ep-11-bob-loblaw,"Another Round, Ep 11: Bob Loblaw (with Chirlane McCray)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-11-bob-loblaw.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-11-bob-loblaw.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-11-bob-loblaw.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-11-bob-loblaw.json
